candidate_id,rank,score,reasoning
CAND_0046064,1,0.85967,"Top-tier candidate. Senior NLP Engineer — 8.9 years experience; 4 core AI skills (Pinecone, OpenSearch, Elasticsearch); production Pinecone experience; high recruiter response (78%)."
CAND_0008425,2,0.8525,"Top-tier candidate. Senior NLP Engineer — 7.8 years experience; 5 core AI skills (pgvector, NLP, Semantic Search); production Pinecone experience; response rate 66%."
CAND_0018499,3,0.85249,"Top-tier candidate. Senior Machine Learning Engineer — 7.2 years experience; 6 core AI skills (Recommendation Systems, Pinecone, Information Retrieval); production Milvus experience; response rate 61%."
CAND_0002025,4,0.844,"Top-tier candidate. Senior AI Engineer — 5.9 years experience; 6 core AI skills (FAISS, OpenSearch, NLP); production Faiss experience; high recruiter response (80%)."
CAND_0005649,5,0.838636,"Top-tier candidate. Senior Data Scientist — 7.4 years experience; 5 core AI skills (Fine-tuning LLMs, Recommendation Systems, Semantic Search); production Pinecone experience; response rate 57%."
CAND_0028793,6,0.8375,"Top-tier candidate. Search Engineer — 7.2 years experience; 4 core AI skills (Embeddings, Information Retrieval, pgvector); production Pinecone experience; response rate 57%. Concern: notice period 120 days may impact timeline."
CAND_0081846,7,0.835,"Top-tier candidate. Lead AI Engineer — 6.7 years experience; 7 core AI skills (Information Retrieval, pgvector, Elasticsearch); production Faiss experience; high recruiter response (73%)."
CAND_0007412,8,0.823218,"Top-tier candidate. Applied ML Engineer — 7.4 years experience; 4 core AI skills (Pinecone, Milvus, RAG); production Milvus experience; high recruiter response (76%). Concern: notice period 120 days may impact timeline."
CAND_0010257,9,0.822727,"Top-tier candidate. Senior Data Scientist — 6.5 years experience; 4 core AI skills (Milvus, OpenSearch, Recommendation Systems); production Milvus experience; high recruiter response (72%). Concern: notice period 120 days may impact timeline."
CAND_0027801,10,0.8225,"Top-tier candidate. NLP Engineer — 7.4 years experience; 4 core AI skills (FAISS, Milvus, OpenSearch); production Milvus experience; response rate 65%. Concern: notice period 120 days may impact timeline."
CAND_0011162,11,0.820588,"Recommendation Systems Engineer — 5.8 years experience; 6 core AI skills (FAISS, Vector Search, Milvus); production Milvus experience; high recruiter response (75%)."
CAND_0071974,12,0.817826,"Senior AI Engineer — 7.8 years experience; 5 core AI skills (Pinecone, Information Retrieval, Embeddings); production Pinecone experience; high recruiter response (76%)."
CAND_0041610,13,0.816171,"Recommendation Systems Engineer — 6.7 years experience; 5 core AI skills (Elasticsearch, OpenSearch, Embeddings); production Pinecone experience; response rate 52%."
CAND_0086022,14,0.813254,"Senior Applied Scientist — 5.3 years experience; 8 core AI skills (Vector Search, Recommendation Systems, pgvector); production Pinecone experience; response rate 55%."
CAND_0055905,15,0.8125,"Senior Machine Learning Engineer — 8.1 years experience; 7 core AI skills (Elasticsearch, LLMs, OpenSearch); production Faiss experience; high recruiter response (87%)."
CAND_0058575,16,0.808478,"AI Engineer — 5.8 years experience; 2 core AI skills (Recommendation Systems, Pinecone); production Pinecone experience; response rate 69%."
CAND_0064326,17,0.807198,"Search Engineer — 7.6 years experience; 3 core AI skills (Milvus, Semantic Search, RAG); production Milvus experience; high recruiter response (94%)."
CAND_0079387,18,0.804506,"AI Engineer — 6.9 years experience; 3 core AI skills (Recommendation Systems, Vector Search, OpenSearch); production Pinecone experience; high recruiter response (81%)."
CAND_0041568,19,0.799221,"Search Engineer — 5.2 years experience; 4 core AI skills (Vector Search, Semantic Search, Recommendation Systems); production Pinecone experience; response rate 52%."
CAND_0052682,20,0.79891,"NLP Engineer — 6.6 years experience; 5 core AI skills (Semantic Search, FAISS, LLMs); production Pinecone experience; high recruiter response (88%)."
CAND_0077337,21,0.797199,"Staff Machine Learning Engineer — 7.0 years experience; 8 core AI skills (Semantic Search, pgvector, Pinecone); production Pinecone experience; high recruiter response (95%)."
CAND_0046525,22,0.795,"Senior Machine Learning Engineer — 6.1 years experience; 5 core AI skills (Elasticsearch, Information Retrieval, LLMs); production Faiss experience; high recruiter response (88%)."
CAND_0044222,23,0.793696,"AI Engineer — 7.7 years experience; 4 core AI skills (Vector Search, OpenSearch, NLP); production Faiss experience; response rate 60%."
CAND_0095528,24,0.793188,"Senior Data Scientist — 5.3 years experience; 7 core AI skills (OpenSearch, Semantic Search, Vector Search); production Qdrant experience; response rate 55%."
CAND_0011687,25,0.7925,"Senior NLP Engineer — 7.8 years experience; 4 core AI skills (OpenSearch, FAISS, Embeddings); production Pinecone experience; high recruiter response (89%)."
CAND_0006418,26,0.791119,"Machine Learning Engineer — 5.7 years experience; 4 core AI skills (Semantic Search, Embeddings, Elasticsearch); production Weaviate experience; high recruiter response (92%)."
CAND_0066376,27,0.785,"Applied ML Engineer — 5.7 years experience; 7 core AI skills (Recommendation Systems, LLMs, Fine-tuning LLMs); production Faiss experience; response rate 51%."
CAND_0053591,28,0.7825,"AI Engineer — 5.3 years experience; 4 core AI skills (Embeddings, Milvus, OpenSearch); production Milvus experience; high recruiter response (81%)."
CAND_0006557,29,0.78249,"NLP Engineer — 7.9 years experience; 6 core AI skills (Elasticsearch, OpenSearch, Vector Search); production Weaviate experience; response rate 63%. Concern: notice period 120 days may impact timeline."
CAND_0075574,30,0.78,"Machine Learning Engineer — 5.7 years experience; 5 core AI skills (pgvector, Recommendation Systems, OpenSearch); production Pinecone experience; response rate 58%."
CAND_0000031,31,0.776329,"Solid experience. Recommendation Systems Engineer — 6.0 years experience; 4 core AI skills (FAISS, Pinecone, Embeddings); production Pinecone experience; high recruiter response (91%)."
CAND_0070398,32,0.775706,"Solid experience. Machine Learning Engineer — 7.2 years experience; 7 core AI skills (RAG, FAISS, Embeddings); production Faiss experience; response rate 60%. Concern: notice period 120 days may impact timeline."
CAND_0098846,33,0.775278,Solid experience. AI Engineer — 7.6 years experience; 1 core AI skill (Recommendation Systems); production Pinecone experience; response rate 62%.
CAND_0018549,34,0.775,"Solid experience. Recommendation Systems Engineer — 6.8 years experience; 4 core AI skills (Elasticsearch, Milvus, Fine-tuning LLMs); production Milvus experience; high recruiter response (73%)."
CAND_0050876,35,0.772958,"Solid experience. Applied ML Engineer — 6.0 years experience; 2 core AI skills (FAISS, OpenSearch); production Faiss experience; response rate 67%."
CAND_0052335,36,0.770658,"Solid experience. Applied ML Engineer — 6.4 years experience; 2 core AI skills (NLP, Semantic Search); production Pinecone experience; high recruiter response (79%)."
CAND_0066999,37,0.77,"Solid experience. Recommendation Systems Engineer — 5.9 years experience; 6 core AI skills (OpenSearch, FAISS, LLMs); production Pinecone experience; response rate 63%."
CAND_0076163,38,0.7675,"Solid experience. NLP Engineer — 6.9 years experience; 3 core AI skills (Semantic Search, Elasticsearch, OpenSearch); production Weaviate experience; high recruiter response (84%)."
